refuser_id,real_estate_alert_id,subscription_date,unsubscription_date,platform,distribution_type,estate_type,living_area_min,living_area_max,price_min,price_max,number_of_rooms,location_zipcodes,location_departement,gateway
bd9c84eb-b67f-4a20-aab5-c6ffb510b86e,63776755,2021-11-18 21:29:32.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",,{20},
668a5a5d-a99d-4a07-b577-5a7893b14f02,62586879,2021-07-08 13:26:54.000000,,LOGICIMMO,RENT,"{APARTMENT,HOUSEORVILLA,LOFTORWORKSHOPORSURFACE}",30,1000,0,1000,"{1,2,3,4,5}",,{75},
0fd88cce-b46e-4e0d-897b-e109a8e78de0,62724034,2021-07-22 20:31:46.000000,,LOGICIMMO,RENT,,0,1000,948,1423,"{1,2,3,4,5}",{33310},,
77cf5891-030d-4e26-8d1f-6c9c1de1edea,62526757,2021-07-02 11:45:06.000000,,LOGICIMMO,RENT,{HOUSEORVILLA},70,85,550,650,"{1,2,3,4,5}","{33330,33500}",,
6076f302-6347-442e-95ff-fdae4cd5e383,63529563,2021-10-16 20:04:51.000000,,LOGICIMMO,RENT,{APARTMENT},90,1000,0,0,"{1,2,3,4,5}",,"{93,95}",
75eb63ab-0df9-4eec-8af2-034c76af3b7f,60865671,2021-01-08 20:13:55.000000,2021-05-10 16:52:45.000000,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{51200},,
60fdb73d-43c3-4d31-b412-b02f770f7abb,63254452,2021-09-13 20:52:53.000000,2021-11-25 17:49:24.000000,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{30140},,
5056528b-018f-41da-a94e-51fdcb59902a,62278787,2021-06-05 08:48:11.000000,2021-06-21 17:02:29.000000,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{77184},,
f36f9caa-5911-4a92-b149-606d51a4626d,62308821,2021-06-08 18:21:14.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{40230},,
083c986c-48ee-4ca0-affe-3ecc5a5df99e,63964874,2021-12-24 20:46:09.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{26000},,
5755f499-72bf-4b12-91f8-379c6a7937f0,63447612,2021-10-05 16:17:21.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{77200},,
8b00e011-ffdb-4a9d-b22b-4d03df5589d6,63359325,2021-09-24 19:08:57.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{63500},,
a4f7040f-0526-4130-be82-bc59e5767630,61683665,2021-04-08 20:03:38.000000,,LOGICIMMONEUF,NEWSELL,,,,,,"{1,2,3,4,5}",{30240},,
b82d59fc-8700-4952-8d4b-1f50a1637e3b,60954010,2021-01-18 17:41:42.000000,2021-04-02 08:49:06.000000,LOGICIMMO,RENT,"{APARTMENT,HOUSEORVILLA,LOFTORWORKSHOPORSURFACE}",0,10000,850,1200,"{1,2,3,4,5}","{01250,38650}",,
b5bce536-29e7-4924-8aa2-c5dba3a8f760,62381690,2021-06-16 21:42:58.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{91330},,
3ee3901d-0397-40e0-8b99-f95700868995,61599016,2021-03-30 16:28:51.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{51300},,
d5857a46-4070-464e-97a4-76e80dd8f40a,61306242,2021-02-25 21:26:54.000000,2021-03-04 19:41:32.000000,LOGICIMMO,BUY,{HOUSEORVILLA},60,1000,0,300000,"{1,2,3,4,5}",{34130},,
f34bec9e-39ee-42ba-a2dc-4b890a373dee,62867250,2021-08-05 22:28:11.000000,,LOGICIMMONEUF,NEWSELL,{HOUSEORVILLA},,,,,"{1,2,3,4,5}",,{60},
a9356f90-7c13-4c68-a896-8f7c84cf080d,61529533,2021-03-23 08:34:11.000000,2021-05-25 14:14:40.000000,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{74140},,
5c028441-e524-42eb-a266-5994489e9e02,63395242,2021-09-28 20:17:22.000000,,LOGICIMMO,RENT,,0,1000,0,500,"{1,2,3,4,5}",{54970},"{54,55}",
46ef440a-f2de-4d64-bbe7-032b6d21eebd,63610856,2021-10-27 11:21:19.000000,2021-11-16 08:06:47.000000,LOGICIMMO,BUY,"{APARTMENT,HOUSEORVILLA}",0,1000,100000,150000,"{1,2,3,4,5}",{13140},,
34d9e941-4bf1-4a47-b6aa-ecf04151cd1f,62550914,2021-07-04 22:33:03.000000,,LOGICIMMO,RENT,,75,1000,0,1200,"{1,2,3,4,5}",{06600},,
066b799c-da1b-4297-9dfb-acc990fdf4fe,61122242,2021-02-05 22:26:47.000000,,LOGICIMMO,BUY,,120,1000,0,900000,"{1,2,3,4,5}",{06560},,
